product_id,product_name,category,sub_category,unit_cost,selling_price
20402,Running Shoes Plus,Sports,Running Shoes,1819.59,2658.06
20403,Sunglasses Prime,Fashion,Sunglasses,5130.79,7319.2
20404,Makeup Kit Max,Beauty & Personal Care,Makeup Kit,1376.63,1561.43
20405,Badminton Racket X,Sports,Badminton Racket,1641.69,2708.44
20406,Hoodie Plus,Fashion,Hoodie,5069.52,5768.17
20407,Handbag Plus,Fashion,Handbag,7931.14,10543.88
20408,Mouse Prime,Electronics,Mouse,7144.83,8400.26
20409,Cookware Set Pro,Home & Kitchen,Cookware Set,4805.89,5629.49
20410,Science Book Max,Books,Science Book,4377.51,6743.86
20411,Football Plus,Sports,Football,7987.32,10748.86
20412,Bluetooth Speaker Lite,Electronics,Bluetooth Speaker,4447.07,6868.96
20413,Football Plus,Sports,Football,3447.91,4360.15
20414,Phone Case X,Electronics,Phone Case,7290.01,9155.71
20415,Backpack X,Fashion,Backpack,1988.35,2491.71
20416,Headphones Max,Electronics,Headphones,915.58,1324.44
20417,Programming Book Max,Books,Programming Book,5127.61,7957.79
20418,Biography Classic,Books,Biography,902.42,1227.02
20419,Shirt Pro,Fashion,Shirt,3079.22,4067.66
20420,Dinner Set X,Home & Kitchen,Dinner Set,3475.08,5685.22
20421,Hoodie Lite,Fashion,Hoodie,4448.17,5257.2
20422,Makeup Kit Lite,Beauty & Personal Care,Makeup Kit,7934.53,10933.11
20423,Mixer Grinder Classic,Home & Kitchen,Mixer Grinder,1884.71,2518.91
20424,Backpack Pro,Fashion,Backpack,3099.69,3632.86
20425,Body Lotion Pro,Beauty & Personal Care,Body Lotion,1188.08,1499.53
20426,Cookware Set Max,Home & Kitchen,Cookware Set,4919.77,5584.3
20427,Wireless Earbuds Plus,Electronics,Wireless Earbuds,5862.23,9290.38
20428,Jeans Lite,Fashion,Jeans,3934.3,5673.89
20429,Face Serum Lite,Beauty & Personal Care,Face Serum,2079.78,3227.73
20430,Programming Book Prime,Books,Programming Book,5023.97,7015.59
20431,Wireless Earbuds Lite,Electronics,Wireless Earbuds,4382.39,6300.74
20432,Backpack Lite,Fashion,Backpack,1493.81,2227.95
20433,T-Shirt Prime,Fashion,T-Shirt,3334.6,5339.52
20434,Vacuum Cleaner X,Home & Kitchen,Vacuum Cleaner,3566.3,4167.68
20435,Jacket Pro,Fashion,Jacket,7863.55,10186.46
20436,Mouse Plus,Electronics,Mouse,6816.89,10196.59
20437,Air Fryer X,Home & Kitchen,Air Fryer,5914.81,9628.87
20438,Cricket Bat Pro,Sports,Cricket Bat,7126.9,11686.89
20439,Shirt Classic,Fashion,Shirt,5923.55,8637.69
20440,Business Book Lite,Books,Business Book,7241.7,8853.75
20441,Storage Box Plus,Home & Kitchen,Storage Box,578.24,684.16
20442,Backpack Pro,Fashion,Backpack,3730.12,6048.03
20443,Storage Box Classic,Home & Kitchen,Storage Box,6013.15,8117.64
20444,Mixer Grinder Lite,Home & Kitchen,Mixer Grinder,4728.87,5784.6
20445,Finance Book Classic,Books,Finance Book,1525.05,2462.9
20446,Hair Dryer Prime,Beauty & Personal Care,Hair Dryer,2822.86,3317.98
20447,Toaster Classic,Home & Kitchen,Toaster,2644.53,3984.44
20448,Makeup Kit X,Beauty & Personal Care,Makeup Kit,2201.57,3195.34
20449,Biography Classic,Books,Biography,2843.61,3317.07
20450,Smart Watch X,Electronics,Smart Watch,4191.6,5447.14
20451,Coffee Maker Max,Home & Kitchen,Coffee Maker,6860.72,8229.18
20452,Headphones X,Electronics,Headphones,5974.96,8606.24
20453,Badminton Racket Prime,Sports,Badminton Racket,6706.71,9207.44
20454,Bluetooth Speaker Prime,Electronics,Bluetooth Speaker,7086.29,7952.7
20455,Cookware Set Classic,Home & Kitchen,Cookware Set,3416.78,5593.7
20456,Hoodie Pro,Fashion,Hoodie,2866.31,3741.34
20457,Hoodie Classic,Fashion,Hoodie,602.34,757.05
20458,Tennis Balls Classic,Sports,Tennis Balls,7454.36,9227.71
20459,Water Bottle Pro,Home & Kitchen,Water Bottle,666.71,802.83
20460,Dress Lite,Fashion,Dress,5967.91,9844.32
20461,Science Book Plus,Books,Science Book,3118.15,3980.03
20462,Coffee Maker Max,Home & Kitchen,Coffee Maker,7597.93,10142.65
20463,Dinner Set Lite,Home & Kitchen,Dinner Set,3443.88,5447.59
20464,Face Wash Classic,Beauty & Personal Care,Face Wash,6560.38,9579.47
20465,Face Serum Lite,Beauty & Personal Care,Face Serum,2368.84,3115.99
20466,Air Fryer Plus,Home & Kitchen,Air Fryer,2497.85,3986.85
20467,USB Cable Prime,Electronics,USB Cable,4824.83,7320.97
20468,Sunscreen Lite,Beauty & Personal Care,Sunscreen,7984.16,9906.64
20469,Hair Dryer Plus,Beauty & Personal Care,Hair Dryer,4212.94,6155.87
20470,Gym Gloves Lite,Sports,Gym Gloves,7500.02,12066.57
20471,Cycling Helmet X,Sports,Cycling Helmet,6322.06,8744.19
20472,Power Bank Classic,Electronics,Power Bank,6397.53,9652.69
20473,Gym Gloves Plus,Sports,Gym Gloves,3572.29,5839.57
20474,Smart Watch Max,Electronics,Smart Watch,3184.36,4731.7
20475,Cycling Helmet Classic,Sports,Cycling Helmet,1656.59,1945.32
20476,Face Serum X,Beauty & Personal Care,Face Serum,7716.94,9643.22
20477,T-Shirt Prime,Fashion,T-Shirt,7681.24,11025.66
20478,Lipstick Lite,Beauty & Personal Care,Lipstick,6014.48,7614.6
20479,Headphones Classic,Electronics,Headphones,2475.58,4029.0
20480,Keyboard Lite,Electronics,Keyboard,2074.66,2769.33
20481,Air Fryer Lite,Home & Kitchen,Air Fryer,7910.59,10776.85
20482,Yoga Mat Classic,Sports,Yoga Mat,672.36,1003.06
20483,Sneakers Plus,Fashion,Sneakers,6771.98,9466.23
20484,Dinner Set Plus,Home & Kitchen,Dinner Set,2940.35,3888.72
20485,Skipping Rope Classic,Sports,Skipping Rope,3438.13,3990.36
20486,Water Bottle Plus,Home & Kitchen,Water Bottle,6681.02,9594.72
20487,Gym Gloves Pro,Sports,Gym Gloves,861.23,1360.59
20488,Hoodie Lite,Fashion,Hoodie,2930.23,4346.86
20489,Hoodie Classic,Fashion,Hoodie,7623.39,10079.59
20490,Mixer Grinder Max,Home & Kitchen,Mixer Grinder,5637.67,6695.83
20491,Programming Book X,Books,Programming Book,6076.27,9434.38
20492,Keyboard Prime,Electronics,Keyboard,6096.42,9870.88
20493,Headphones Classic,Electronics,Headphones,625.48,829.25
20494,Shirt Classic,Fashion,Shirt,1745.18,2628.56
20495,Skipping Rope Lite,Sports,Skipping Rope,4006.42,5359.41
20496,Mouse X,Electronics,Mouse,3039.98,4214.02
20497,Perfume Lite,Beauty & Personal Care,Perfume,3375.66,5277.28
20498,Hair Dryer Max,Beauty & Personal Care,Hair Dryer,6284.36,7316.35
20499,Jeans Prime,Fashion,Jeans,265.23,371.61
20500,Backpack Plus,Fashion,Backpack,5334.86,6581.88
